60614,SUBWAY SANDWICHES AND SALADS
60610,ROCK BOTTOM RESTAURANT & BREWERY - RB GRILLE
60639,CHURCH'S CHICKEN # 1414
60620,HAROLD'S CHICKEN SHACK
60653,CHICAGO STEAKHOUSE
60666,THE GREAT AMERICAN BAGEL
60649,FRESH PANTRY
60624,"HOOK FISH & CHICKEN ON MADISON, INC."
60827,DuBois
60607,BUTTER
60622,FILTER COFFEE LOUNGE
60623,LOS SAUCES TAQUERIA
60611,COCO PAZZO CAFE
60657,PHILLY'S BEST
60608,LAS TRES CAMPANITAS
60607,KARYN'S ON GREEN
60638,WAYNE MOY CHOP SUEY
60647,ARMITAGE PRODUCE INC
60651,J & J FISH
60607,KARYN'S ON GREEN
60640,S L PANTRY & GRILL
60628,WE 8 INCORPORATED
60616,CHURCH'S CHICKEN # 478
60617,"Eastside Soccer Dome, Inc."
60614,DUNKIN DONUTS
60666,CIBO EXPRESS GOURMET MARKET #2
60655,MCDONALD'S #490
60642,PODHALANKA RESTAURANT
60647,ARMITAGE PRODUCE INC
60639,MCDONALDS #5471
60624,STAR GYROS
60623,ZAVALA'S GROCERY STORE INC
60618,"LA BRASA ROJA, INC."
60607,"QuiteFrankly,Ltd."
60657,DONA TORTA
60611,MARY'S CAFE
60618,BRICK HOUSE BAR AND GRILL
60619,DANNYS TACOS #2
60637,McDONALDS
60625,TACO CHINO
60642,WHOLE FOODS MARKET
60609,CHINA WOK
60618,BRISKU BISTRO
60651,DUNKIN DONUTS / BASKIN ROBBINS
60613,SAN MIGUEL BAKERY INC.
60621,GARFIELD SHELL
60622,DUNKIN DONUTS
60652,MCDONALD'S #11290
60618,BREW & GROW
60647,BORNIQUEN RESTAURANT
60614,SEDGWICK'S
60621,MC INTOSH'S
60609,DUNKIN DONUTS
60649,REBECCA K. CROWN CHLD. DEV. CT
60659,Delhi Darbar Kabob House
60657,EAT A PITA
60601,LAGNIAPPE-A CREOLE CAJUN JOYNT
60632,ZARAGOZA RESTAURANT
60654,SULLIVAN'S STEAKHOUSE
60636,SAFAH FOOD & LIQUOR INC
60613,FINLEY MAHONY'S
60616,FERRO'S
60639,SU TAQUERIA EL GALLO BRAVO #4
60651,SUNSET LIQUORS
60630,"LIDO, INC."
60614,ROBINSON'S RIBS
60623,ABE'S IN & OUT
60651,DONS PIZZA & GRILL
60666,THE GREAT AMERICAN BAGEL
60632,ANGELO'S STUFFED PIZZA CORP
60610,CHICAGO SINAI CONGREGATION
60617,LEONAS
60636,SAFAH FOOD & LIQUOR INC
60647,FUNSTON ANNEX  ELEM. SCHOOL
60636,RAINBOW GROCERY
60649,OBAMA FOOD MART
60609,"PARK PACKING OF CHICAGO, INC"
60639,COCHIAROS PIZZA #2
60654,STARBUCKS COFFEE #13710
60618,3811 PIRAMID INC
60621,LITTLE LEARNING ACADEMY
60661,IZUMI SUSHI BAR & RESTAURANT
60608,MAKIA FOOD
60647,FUNSTON  ELEMENTARY  SCHOOL
60623,EL MILAGRO
60649,Yahs Cuisine
60642,KIKKA- KINGSBURY
60631,FERNANDO'S MEXICAN GRILL & PIZZA
60616,MAXWELL STREET DEPOT INC.
60632,JEWEL FOOD STORE #3170
60636,POPEYES CHICKEN
60608,WALGREENS #1417
60666,THE DOGHOUSE
60651,"NOAH FOOD GROUP, INC"
60617,CVS PHARMACY #2935
60623,EL MILAGRO
60618,THRESHOLD SCHOOL
60610,EINSTEIN BROS. BAGELS #3505
60610,"LOVEBUGS, TODDLER PROGRAMS AND PRESCHOOL, LLC"
60666,REGGIO'S PIZZA EXPRESS
60639,GOLDEN CROWN RESTAURANT
60609,SOUTH SIDE FUEL CTR/DUNKIN DOUGHNUTS
60610,"LOVEBUGS, TODDLER PROGRAMS AND PRESCHOOL, LLC"
60628,CITGO
60617,Tots Express Learning Center
60637,"ACE'S SOUL FOOD CAFE, INC."
60629,EL TACONAZO RESTAURANT
60606,7-ELEVEN #32889B
60652,THE LEARNING TREE II
60651,"MONTICELLO FOOD MART, INC"
60610,PAKEEZA
60643,SUPER DOG'S SUBMARINES INC
60654,State Street Pizza Company
60608,FAIRPLAY FINER FOOD
60618,WHIPPLE STORE
60613,WOLCOTT'S
60613,WOLCOTT'S
60601,DUNKIN DONUTS/BASKIN-ROBBINS
60657,Cafe 608
60634,mr.daniel's
60611,TEMPO CAFE
